CHOPER,CHFLTN,CHOPERD,CHSTOL,CHPTOL,CHAORD,CHLOC1,CHLOC1D,CHLOC1TH,CHLOC1T,CHLOC1CH,CHLOCCT,CHTERM,CHCINT,CHCKZN,CHRMINE,CHRMINH
OS,860,AUSTRIAN AIRLINES,2024-07-11T06:10:00,2024-07-11T06:10:00,D,VIE,VIENNA,וינה,VIENNA,אוסטריה,AUSTRIA,3,,,ON TIME,בזמן
SK,3155,SAS,2024-07-11T06:10:00,2024-07-11T06:10:00,D,AMS,AMSTERDAM,אמסטרדם,AMSTERDAM,הולנד,NETHERLANDS,3,,,ON TIME,בזמן
WZ,017,RED WINGS AIRLINES,2024-07-11T06:10:00,2024-07-11T06:10:00,A,DME,MOSCOW-DOMODEDOVO,מוסקבה,MOSCOW,רוסיה,RUSSIAN FEDERATION,3,,,NOT FINAL,לא סופי
IZ,091,ARKIA  ISRAELI  AIRLINES,2024-07-11T06:20:00,2024-07-11T06:20:00,D,HER,HERAKLION,הרקליון,HERAKLION,יוון,GREECE,1,,,ON TIME,בזמן
LY,2371,EL AL ISRAEL AIRLINES,2024-07-11T06:20:00,2024-07-11T06:20:00,D,BER,BERLIN BRANDENBURG INTL,ברלין,BERLIN,גרמניה,GERMANY,3,,,ON TIME,בזמן
SK,3157,SAS,2024-07-11T06:20:00,2024-07-11T06:20:00,D,BER,BERLIN BRANDENBURG INTL,ברלין,BERLIN,גרמניה,GERMANY,3,,,ON TIME,בזמן
AF,6173,AIR FRANCE,2024-07-11T06:30:00,2024-07-11T06:30:00,D,NCE,NICE,ניס,NICE,צרפת,FRANCE,3,,,ON TIME,בזמן
BZ,704,BLUE BIRD AIRWAYS,2024-07-11T06:30:00,2024-07-11T06:30:00,D,ATH,ATHENS,אתונה,ATHENS,יוון,GREECE,3,,,ON TIME,בזמן
IZ,801,ARKIA  ISRAELI  AIRLINES,2024-07-11T06:30:00,2024-07-11T06:30:00,D,ETM,RAMON,אילת - רמון,RAMON,ישראל,ISRAEL,1,,,ON TIME,בזמן
LY,223,EL AL ISRAEL AIRLINES,2024-07-11T06:30:00,2024-07-11T06:30:00,D,NCE,NICE,ניס,NICE,צרפת,FRANCE,3,,,ON TIME,בזמן
A3,459,AEGEAN  AIRLINES,2024-07-11T06:40:00,2024-07-11T06:40:00,D,HER,HERAKLION,הרקליון,HERAKLION,יוון,GREECE,3,,,ON TIME,בזמן
LY,2365,EL AL ISRAEL AIRLINES,2024-07-11T06:40:00,2024-07-11T06:40:00,D,BUD,BUDAPEST,בודפשט,BUDAPEST,הונגריה,HUNGARY,3,,,ON TIME,בזמן
LY,2521,EL AL ISRAEL AIRLINES,2024-07-11T06:40:00,2024-07-11T06:40:00,D,PRG,PRAGUE-RUZYNE,פראג,PRAGUE,צ'כיה,CZECH REPUBLIC,3,,,ON TIME,בזמן
LY,361,EL AL ISRAEL AIRLINES,2024-07-11T06:40:00,2024-07-11T06:40:00,D,VIE,VIENNA,וינה,VIENNA,אוסטריה,AUSTRIA,3,,,ON TIME,בזמן
A3,457,AEGEAN  AIRLINES,2024-07-11T06:50:00,2024-07-11T06:50:00,D,HER,HERAKLION,הרקליון,HERAKLION,יוון,GREECE,3,,,ON TIME,בזמן
B6,6466,JETBLUE AIRWAYS CORPORATION,2024-07-11T06:50:00,2024-07-11T06:50:00,A,BOS,BOSTON-LOGAN INT,בוסטון,BOSTON,ארצות הברית,UNITED STATES,3,,,NOT FINAL,לא סופי
DL,7436,DELTA AIRLINES,2024-07-11T06:50:00,2024-07-11T06:50:00,A,BOS,BOSTON-LOGAN INT,בוסטון,BOSTON,ארצות הברית,UNITED STATES,3,,,NOT FINAL,לא סופי
LY,016,EL AL ISRAEL AIRLINES,2024-07-11T06:50:00,2024-07-11T06:50:00,A,BOS,BOSTON-LOGAN INT,בוסטון,BOSTON,ארצות הברית,UNITED STATES,3,,,NOT FINAL,לא סופי
B6,6484,JETBLUE AIRWAYS CORPORATION,2024-07-11T06:55:00,2024-07-11T06:55:00,A,EWR,NEW YORK - NEWARK,ניוארק,NEWARK,ארצות הברית,UNITED STATES,3,,,NOT FINAL,לא סופי
DL,7444,DELTA AIRLINES,2024-07-11T06:55:00,2024-07-11T06:55:00,A,EWR,NEW YORK - NEWARK,ניוארק,NEWARK,ארצות הברית,UNITED STATES,3,,,NOT FINAL,לא סופי
G2,308,GULLIVAIR,2024-07-11T06:55:00,2024-07-11T06:55:00,D,RHO,RHODES-PARADISI,רודוס,RHODES,יוון,GREECE,3,,,ON TIME,בזמן
LY,028,EL AL ISRAEL AIRLINES,2024-07-11T06:55:00,2024-07-11T06:55:00,A,EWR,NEW YORK - NEWARK,ניוארק,NEWARK,ארצות הברית,UNITED STATES,3,,,NOT FINAL,לא סופי
AR,7850,AEROLINEAS ARGENTINAS S.A.,2024-07-11T07:00:00,2024-07-11T07:00:00,A,MIA,MIAMI INTERNATIONAL,מיאמי,MIAMI,ארצות הברית,UNITED STATES,3,,,NOT FINAL,לא סופי
B6,6468,JETBLUE AIRWAYS CORPORATION,2024-07-11T07:00:00,2024-07-11T07:00:00,A,MIA,MIAMI INTERNATIONAL,מיאמי,MIAMI,ארצות הברית,UNITED STATES,3,,,NOT FINAL,לא סופי
B6,6480,JETBLUE AIRWAYS CORPORATION,2024-07-11T07:00:00,2024-07-11T07:00:00,A,JFK,NEW YORK - J.F.KENNEDY,ניו יורק,NEW YORK,ארצות הברית,UNITED STATES,3,,,NOT FINAL,לא סופי
DL,7438,DELTA AIRLINES,2024-07-11T07:00:00,2024-07-11T07:00:00,A,MIA,MIAMI INTERNATIONAL,מיאמי,MIAMI,ארצות הברית,UNITED STATES,3,,,NOT FINAL,לא סופי
DL,7447,DELTA AIRLINES,2024-07-11T07:00:00,2024-07-11T07:00:00,A,JFK,NEW YORK - J.F.KENNEDY,ניו יורק,NEW YORK,ארצות הברית,UNITED STATES,3,,,NOT FINAL,לא סופי
